#id             x        y        V       eV       UB     eUB        BV      eBV       VI      eVI       JH      eJH       HK      eHK    m_ini
153       1051.99  1096.73    19.04     0.08     0.74     0.08     0.97     0.08     1.39     0.08     0.19     0.08     0.13     0.08   1.5738
154       1058.68   901.90    18.86     0.11     0.67     0.11     1.06     0.11     1.24     0.11     0.34     0.11     0.24     0.11   1.5973
1055       953.49  1029.34    18.36     0.08     0.51     0.08     0.83     0.08     1.21     0.08     0.50     0.08     0.11     0.08   1.5121
1056      1104.45  1175.72    18.16     0.09     0.64     0.09     0.88     0.09     1.28     0.09     0.23     0.09     0.37     0.09   1.5481
157        986.51  1158.36    18.81     0.09     0.64     0.09     0.83     0.09     1.30     0.09     0.29     0.09     0.31     0.09   1.6946
158        988.26   973.51    18.67     0.12     0.64     0.12     0.80     0.12     1.39     0.12     0.38     0.12     0.29     0.12   1.7278
1059       994.86   982.05    18.36     0.10     0.49     0.10     1.00     0.10     1.26     0.10     0.31     0.10     0.28     0.10   1.4021
160       1100.02  1208.00    18.63     0.07     0.54     0.07     0.88     0.07     1.12     0.07     0.38     0.07     0.23     0.07   1.8141
161       1126.12  1131.83    18.57     0.09     0.61     0.09     1.04     0.09     1.11     0.09     0.37     0.09     0.16     0.09   1.8291
162       1131.80   907.23    18.47     0.12     0.73     0.12     0.91     0.12     1.06     0.12     0.25     0.12     0.26     0.12   1.8693
1063       840.30  1001.69    17.73     0.08     0.39     0.08     0.95     0.08     1.32     0.08     0.31     0.08     0.14     0.08   1.8693
1064      1031.65  1013.54    17.94     0.07     0.49     0.07     0.99     0.07     1.20     0.07     0.25     0.07     0.19     0.07   1.6946
1065       974.98   882.78    18.02     0.08     0.54     0.08     0.82     0.08     1.16     0.08     0.25     0.08     0.37     0.08   1.4387
166        948.93   935.87    18.31     0.11     0.56     0.11     0.84     0.11     1.08     0.11     0.39     0.11     0.14     0.11   2.0832
167       1047.74  1073.49    18.31     0.09     0.36     0.09     0.90     0.09     1.06     0.09     0.13     0.09     0.08     0.09   2.1122
168       1008.37  1142.70    18.07     0.08     0.55     0.08     0.84     0.08     1.19     0.08     0.29     0.08     0.18     0.08   2.1953
169        924.06  1205.07    18.18     0.07     0.47     0.07     0.80     0.07     1.08     0.07     0.31     0.07     0.21     0.07   2.2409
1070       986.63  1039.26    17.60     0.08     0.43     0.08     0.84     0.08     1.03     0.08     0.20     0.08     0.03     0.08   1.8693
1071      1001.51   945.11    17.55     0.06     0.37     0.06     0.83     0.06     1.30     0.06     0.22     0.06     0.23     0.06   2.0832
1072       873.23  1075.01    17.32     0.06     0.51     0.06     0.79     0.06     1.10     0.06     0.32     0.06     0.16     0.06   2.0214
1073      1010.39   876.10    17.14     0.08     0.37     0.08     0.84     0.08     0.99     0.08     0.26     0.08     0.29     0.08   2.4394
174       1095.97   956.81    17.73     0.06     0.30     0.06     0.82     0.06     1.08     0.06     0.30     0.06     0.17     0.06   2.6717
175       1148.21  1064.51    17.79     0.06     0.26     0.06     0.88     0.06     1.13     0.06     0.16     0.06     0.17     0.06   2.7144
176        881.00  1027.83    17.60     0.07     0.35     0.07     0.74     0.07     1.01     0.07     0.29     0.07     0.25     0.07   2.8732
1077      1023.47  1064.12    16.80     0.05     0.26     0.05     0.67     0.05     1.08     0.05     0.24     0.05     0.20     0.05   2.8732
1078       961.03  1029.47    16.95     0.05     0.37     0.05     0.78     0.05     1.06     0.05     0.20     0.05     0.17     0.05   2.1953
1079      1008.62   951.29    16.77     0.05     0.16     0.05     0.82     0.05     1.06     0.05     0.27     0.05     0.15     0.05   2.3668
1080       992.47   975.39    16.73     0.05     0.24     0.05     0.70     0.05     1.04     0.05     0.13     0.05     0.28     0.05   2.5314
1081      1067.23  1115.15    16.57     0.05     0.18     0.05     0.76     0.05     1.08     0.05     0.30     0.05     0.13     0.05   2.5314
182       1099.04   945.62    16.80     0.05     0.05     0.05     0.64     0.05     1.06     0.05     0.32     0.05     0.16     0.05   3.9189
1083      1129.56  1013.61    16.28     0.06     0.08     0.06     0.72     0.06     1.08     0.06     0.13     0.06     0.27     0.06   3.2987
184        985.38  1095.75    16.59     0.04     0.06     0.04     0.75     0.04     1.05     0.04     0.26     0.04     0.22     0.04   4.2432
1085       885.92   944.00    15.92     0.04     0.06     0.04     0.69     0.04     1.09     0.04     0.22     0.04     0.23     0.04   3.6455
1086      1186.60  1048.32    15.52     0.04     0.02     0.04     0.69     0.04     1.04     0.04     0.20     0.04     0.15     0.04   4.5843
1087       979.60  1016.80    15.57     0.04     0.01     0.04     0.78     0.04     1.04     0.04     0.19     0.04     0.11     0.04   4.2432
188       1197.13   924.23    15.71     0.04    -0.08     0.04     0.73     0.04     0.97     0.04     0.20     0.04     0.08     0.04   6.3154
189        968.43  1061.53    15.56     0.03    -0.06     0.03     0.72     0.03     0.97     0.03     0.21     0.03     0.15     0.03   6.6083
190       1118.89  1062.14    15.30     0.03    -0.12     0.03     0.64     0.03     0.99     0.03     0.21     0.03     0.15     0.03   7.5412
1091      1089.28  1139.20    14.17     0.02    -0.21     0.02     0.62     0.02     0.96     0.02     0.21     0.02     0.11     0.02   7.5412
1092       983.61   955.70    13.54     0.02    -0.26     0.02     0.69     0.02     0.93     0.02     0.19     0.02     0.13     0.02   9.6202
193        969.38  1101.33    12.87     0.02    -0.34     0.02     0.63     0.02     0.94     0.02     0.18     0.02     0.11     0.02  15.7612
194       1003.41  1091.60    13.85     0.02    -0.29     0.02     0.66     0.02     0.93     0.02     0.21     0.02     0.10     0.02  12.2425
20         537.99  1102.51     9.72     0.02    -0.38     0.02     0.69     0.02     1.05     0.02     0.39     0.02     0.12     0.02   0.0000
21        1698.39  1516.02    13.08     0.04     1.29     0.04     2.21     0.04     2.58     0.04     1.20     0.04     0.23     0.04   0.0000
22         243.76  1542.27    15.05     0.06     2.15     0.06     3.09     0.06     3.48     0.06     1.65     0.06     0.26     0.06   0.0000
23        1723.94  1236.96    11.62     0.02    -0.37     0.02     0.69     0.02     1.01     0.02     0.40     0.02     0.07     0.02   0.0000
24         488.86     8.90    15.82     0.08     2.09     0.08     3.00     0.08     3.33     0.08     1.53     0.08     0.20     0.08   0.0000
25        1858.91  1405.46    15.07     0.04     1.42     0.04     2.17     0.04     2.55     0.04     1.08     0.04     0.23     0.04   0.0000
26        1019.86  1277.63    12.92     0.04     0.10     0.04     1.07     0.04     1.40     0.04     0.52     0.04     0.16     0.04   0.0000
27        1326.24  1745.28    12.60     0.03    -0.20     0.03     0.80     0.03     1.09     0.03     0.27     0.03     0.08     0.03   0.0000
28         633.62  1967.62    12.61     0.03    -0.39     0.03     0.64     0.03     0.96     0.03     0.32     0.03     0.06     0.03   0.0000
29         810.95  1085.09    17.82     0.10     2.48     0.10     3.14     0.10     3.58     0.10     1.41     0.10     0.36     0.10   0.0000
210       1509.26   496.38    17.94     0.13     2.71     0.13     3.48     0.13     3.66     0.13     1.77     0.13     0.23     0.13   0.0000
211       1261.64  1272.94    13.97     0.04     0.35     0.04     1.02     0.04     1.36     0.04     0.54     0.04     0.18     0.04   0.0000
212       1550.67  1682.66    15.34     0.07     1.11     0.07     1.77     0.07     2.04     0.07     0.88     0.07     0.20     0.07   0.0000
213        627.07     4.97    12.90     0.04    -0.61     0.04     0.33     0.04     0.56     0.04     0.10     0.04     0.13     0.04   0.0000
214       1633.72   198.97    15.56     0.07     0.93     0.07     1.59     0.07     1.85     0.07     0.79     0.07     0.25     0.07   0.0000
215       1268.95   742.32    13.77     0.04    -0.24     0.04     0.62     0.04     0.93     0.04     0.10     0.04     0.10     0.04   0.0000
216       1708.67  1188.08    16.84     0.08     1.83     0.08     2.60     0.08     2.87     0.08     1.18     0.08     0.32     0.08   0.0000
217       1447.29   828.67    14.05     0.05    -0.14     0.05     0.69     0.05     0.99     0.05     0.16     0.05     0.13     0.05   0.0000
218       1772.72   674.46    14.46     0.05     0.08     0.05     0.87     0.05     1.15     0.05     0.35     0.05     0.20     0.05   0.0000
219        732.14  1781.14    17.95     0.10     2.16     0.10     2.97     0.10     3.15     0.10     1.40     0.10     0.30     0.10   0.0000
220       1060.58  1778.05    14.13     0.05    -0.07     0.05     0.66     0.05     0.88     0.05     0.23     0.05     0.13     0.05   0.0000
221        497.33   691.45    14.52     0.04     0.04     0.04     0.81     0.04     1.10     0.04     0.21     0.04     0.08     0.04   0.0000
222        716.00  1967.96    16.13     0.07     1.00     0.07     1.71     0.07     1.82     0.07     0.67     0.07     0.26     0.07   0.0000
223       1312.83  1696.09    14.03     0.04    -0.26     0.04     0.49     0.04     0.73     0.04     0.02     0.04     0.10     0.04   0.0000
224       1069.19  1165.13    14.47     0.03    -0.03     0.03     0.67     0.03     0.98     0.03     0.21     0.03     0.09     0.03   0.0000
225       1775.18  1882.79    15.46     0.06     0.38     0.06     1.04     0.06     1.38     0.06     0.35     0.06     0.15     0.06   0.0000
226        498.21   983.64    17.72     0.08     1.98     0.08     2.47     0.08     2.79     0.08     1.12     0.08     0.44     0.08   0.0000
227       1607.02   607.15    19.18     0.14     2.68     0.14     3.09     0.14     3.57     0.14     1.70     0.14     0.39     0.14   0.0000
228        247.37  1660.27    14.83     0.04     0.16     0.04     0.80     0.04     1.13     0.04     0.17     0.04     0.14     0.04   0.0000
229       1564.97   252.33    15.78     0.08     0.38     0.08     0.96     0.08     1.44     0.08     0.19     0.08     0.26     0.08   0.0000
230        577.52   411.37    20.64     0.20     4.18     0.20     3.95     0.20     4.58     0.20     2.19     0.20     0.47     0.20   0.0000
232       1328.73   818.72    19.65     0.18     3.22     0.18     3.79     0.18     3.92     0.18     1.56     0.18     0.59     0.18   0.0000
233        645.36   468.53    14.63     0.05    -0.14     0.05     0.56     0.05     0.81     0.05     0.09     0.05     0.14     0.05   0.0000
234        798.47  1814.93    14.34     0.04    -0.22     0.04     0.47     0.04     0.76     0.04     0.10     0.04     0.12     0.04   0.0000
235        937.38  1934.80    16.75     0.07     1.00     0.07     1.43     0.07     1.98     0.07     0.65     0.07     0.18     0.07   0.0000
237        233.39  1800.15    15.31     0.07     0.02     0.07     0.71     0.07     0.92     0.07     0.20     0.07     0.09     0.07   0.0000
238        430.71  1375.48    15.41     0.07     0.19     0.07     0.81     0.07     1.03     0.07     0.12     0.07     0.16     0.07   0.0000
239       1901.50  1195.84    20.29     0.18     3.00     0.18     3.32     0.18     3.54     0.18     1.35     0.18     0.33     0.18   0.0000
240       1481.63   996.97    17.98     0.15     1.78     0.15     2.20     0.15     2.45     0.15     1.03     0.15     0.29     0.15   0.0000
241       1937.70   329.44    15.62     0.07     0.77     0.07     1.25     0.07     1.51     0.07    -0.12     0.07     0.14     0.07   0.0000
243        214.67  1285.21    18.42     0.14     2.04     0.14     2.75     0.14     2.78     0.14     1.21     0.14     0.37     0.14   0.0000
244        379.21   450.23    18.51     0.13     1.96     0.13     2.38     0.13     2.70     0.13     1.31     0.13     0.36     0.13   0.0000
245        980.12     6.67    16.15     0.05     0.55     0.05     1.08     0.05     1.26     0.05     0.29     0.05     0.25     0.05   0.0000
246        314.12  1218.71    16.60     0.08     0.97     0.08     1.58     0.08     1.90     0.08     0.64     0.08     0.28     0.08   0.0000
247       1671.13  1592.03    16.29     0.08     0.70     0.08     1.29     0.08     1.60     0.08     0.65     0.08     0.15     0.08   0.0000
248         37.06  1296.26    16.94     0.07     1.01     0.07     1.64     0.07     1.72     0.07     0.58     0.07     0.32     0.07   0.0000
249       1072.28  1612.35    16.11     0.07     0.42     0.07     0.94     0.07     1.28     0.07     0.42     0.07     0.15     0.07   0.0000
250        353.07  1584.97    19.08     0.11     2.19     0.11     2.57     0.11     2.88     0.11     0.95     0.11     0.21     0.11   0.0000
252       1971.76  1845.69    15.80     0.09     0.22     0.09     0.60     0.09     1.20     0.09     0.20     0.09     0.17     0.09   0.0000
253       1109.05  1223.55    15.75     0.06     0.13     0.06     0.76     0.06     1.00     0.06     0.11     0.06     0.08     0.06   0.0000
254        994.06  1114.59    16.30     0.08     0.21     0.08     0.79     0.08     1.01     0.08     0.21     0.08     0.10     0.08   0.0000
255        207.96  1825.41    16.20     0.05     0.17     0.05     0.76     0.05     1.00     0.05     0.14     0.05     0.13     0.05   0.0000
256       1345.47   200.05    14.83     0.05    -0.47     0.05     0.10     0.05     0.32     0.05    -0.15     0.05     0.11     0.05   0.0000
257        398.53  1172.71    16.52     0.09     0.68     0.09     1.26     0.09     1.51     0.09     0.35     0.09     0.13     0.09   0.0000
258       1214.13  1784.82    15.85     0.07     0.03     0.07     0.66     0.07     1.00     0.07     0.29     0.07     0.10     0.07   0.0000
259       1095.42   488.92    17.06     0.10     0.88     0.10     1.28     0.10     1.53     0.10     0.60     0.10     0.24     0.10   0.0000
260       1491.55  1884.68    19.13     0.09     2.15     0.09     2.43     0.09     2.80     0.09     1.19     0.09     0.25     0.09   0.0000
261       1600.58  1052.84    15.91     0.06     0.57     0.06     1.11     0.06     1.30     0.06     0.08     0.06     0.20     0.06   0.0000
262         97.05  1650.98    19.96     0.18     3.09     0.18     3.16     0.18     3.49     0.18     1.67     0.18     0.17     0.18   0.0000
263        163.53  2010.75    15.33     0.06    -0.18     0.06     0.23     0.06     0.62     0.06     0.07     0.06     0.09     0.06   0.0000
264       1126.06  1602.69    19.09     0.15     2.35     0.15     2.41     0.15     2.50     0.15     1.20     0.15     0.32     0.15   0.0000
265        254.42   504.51    19.77     0.15     2.47     0.15     2.77     0.15     3.02     0.15     1.30     0.15     0.21     0.15   0.0000
267       1828.33   137.35    17.84     0.12     1.76     0.12     2.04     0.12     2.31     0.12     1.01     0.12     0.34     0.12   0.0000
268        785.17  1314.84    14.89     0.05    -0.36     0.05     0.24     0.05     0.55     0.05    -0.05     0.05     0.12     0.05   0.0000
269         64.82   455.16    17.99     0.13     1.20     0.13     1.47     0.13     1.50     0.13     0.50     0.13     0.19     0.13   0.0000
270        904.05  1265.18    16.72     0.09     0.39     0.09     0.59     0.09     1.12     0.09     0.06     0.09     0.22     0.09   0.0000
271       1660.77  2035.07    17.25     0.09     0.80     0.09     1.29     0.09     1.37     0.09     0.40     0.09     0.29     0.09   0.0000
272        608.89  1278.18    19.02     0.14     1.98     0.14     1.94     0.14     2.28     0.14     0.83     0.14    -0.14     0.14   0.0000
273        695.80  1547.82    18.96     0.11     1.59     0.11     1.73     0.11     2.28     0.11     0.81     0.11     0.19     0.11   0.0000
275       1615.59   737.82    16.43     0.09     0.44     0.09     1.14     0.09     1.16     0.09     0.14     0.09     0.13     0.09   0.0000
276       1928.81   769.74    18.57     0.14     1.60     0.14     2.10     0.14     2.21     0.14     1.04     0.14     0.19     0.14   0.0000
277        363.37   532.98    17.98     0.09     1.26     0.09     1.71     0.09     2.03     0.09     0.62     0.09     0.36     0.09   0.0000
278         19.00  1540.31    16.79     0.08     0.54     0.08     0.81     0.08     1.10     0.08     0.27     0.08     0.15     0.08   0.0000
279       1487.93   998.61    15.88     0.07     0.09     0.07     0.64     0.07     0.73     0.07     0.13     0.07     0.14     0.07   0.0000
280       1406.50   370.84    15.07     0.05    -0.50     0.05     0.09     0.05     0.29     0.05    -0.19     0.05     0.13     0.05   0.0000
281       1736.03    17.74    17.88     0.10     1.18     0.10     1.70     0.10     1.91     0.10     0.65     0.10     0.11     0.10   0.0000
282        432.81   675.25    18.42     0.13     1.25     0.13     1.78     0.13     2.21     0.13     0.77     0.13     0.23     0.13   0.0000
283       1673.08   978.67    20.52     0.25     3.29     0.25     3.44     0.25     3.81     0.25     1.30     0.25     0.14     0.25   0.0000
285        920.15   792.56    19.55     0.20     2.27     0.20     2.66     0.20     2.62     0.20     1.05     0.20     0.62     0.20   0.0000
286        944.61  1634.11    18.02     0.11     1.45     0.11     1.76     0.11     1.99     0.11     0.80     0.11     0.16     0.11   0.0000
287        691.82    95.22    21.03     0.24     3.07     0.24     3.42     0.24     3.74     0.24     1.41     0.24     0.38     0.24   0.0000
288       2003.18   769.99    15.67     0.06    -0.27     0.06     0.39     0.06     0.66     0.06    -0.07     0.06     0.16     0.06   0.0000
289        387.71   647.14    19.62     0.12     2.42     0.12     2.88     0.12     2.82     0.12     1.27     0.12     0.50     0.12   0.0000
290       1949.96  1333.72    16.45     0.08     0.29     0.08     0.90     0.08     1.15     0.08     0.16     0.08     0.14     0.08   0.0000
291       1778.30  1043.57    17.41     0.09     0.79     0.09     1.21     0.09     1.29     0.09     0.43     0.09     0.22     0.09   0.0000
292        935.22   273.90    16.18     0.08     0.29     0.08     0.61     0.08     0.83     0.08     0.14     0.08     0.08     0.08   0.0000
293       1788.57  1965.33    16.70     0.08     0.53     0.08     0.79     0.08     1.12     0.08     0.17     0.08     0.12     0.08   0.0000
294       1766.70   696.21    20.69     0.21     3.22     0.21     3.32     0.21     3.50     0.21     1.75     0.21    -0.08     0.21   0.0000
295        484.80   382.53    18.19     0.11     1.24     0.11     1.45     0.11     1.77     0.11     0.59     0.11     0.14     0.11   0.0000
296       1534.52  1893.35    16.48     0.06     0.73     0.06     1.04     0.06     1.20     0.06     0.28     0.06     0.13     0.06   0.0000
297       2020.43   143.12    17.24     0.10     0.41     0.10     0.72     0.10     0.88     0.10     0.26     0.10     0.31     0.10   0.0000
298       1371.51   102.87    17.15     0.10     0.84     0.10     1.09     0.10     1.53     0.10    -0.19     0.10     0.04     0.10   0.0000
2100      1012.42  2024.75    17.08     0.10     0.90     0.10     1.27     0.10     1.49     0.10     0.01     0.10     0.29     0.10   0.0000
2101      1804.94   905.81    17.49     0.11     0.61     0.11     0.85     0.11     1.34     0.11     0.21     0.11     0.24     0.11   0.0000
2102      1457.22  1900.55    18.25     0.09     1.09     0.09     1.51     0.09     1.79     0.09     0.71     0.09     0.35     0.09   0.0000
2103      1894.38   580.82    17.57     0.11     0.61     0.11     0.78     0.11     1.10     0.11     0.14     0.11     0.14     0.11   0.0000
2105      1276.49  1321.63    17.36     0.11     0.64     0.11     0.98     0.11     1.21     0.11     0.25     0.11     0.15     0.11   0.0000
2106       375.00  1838.22    19.26     0.17     1.82     0.17     2.37     0.17     2.25     0.17     0.78     0.17     0.26     0.17   0.0000
2107      1718.40  1530.47    17.05     0.10     0.43     0.10     0.88     0.10     1.27     0.10     0.13     0.10     0.14     0.10   0.0000
2108       689.31  1768.32    18.91     0.14     1.63     0.14     2.23     0.14     2.42     0.14     0.80     0.14     0.29     0.14   0.0000
2111       353.51  1856.44    19.68     0.14     1.60     0.14     2.25     0.14     2.59     0.14     1.05     0.14     0.25     0.14   0.0000
2112      1273.28  1313.97    17.50     0.12     0.56     0.12     0.73     0.12     1.06     0.12     0.16     0.12     0.30     0.12   0.0000
2113       412.42   898.41    17.07     0.09     0.52     0.09     0.91     0.09     1.25     0.09     0.51     0.09     0.09     0.09   0.0000
2114        21.09  1730.70    17.31     0.11     0.50     0.11     1.00     0.11     1.37     0.11     0.41     0.11     0.21     0.11   0.0000
2115      1815.03  1405.33    17.49     0.07     1.22     0.07     1.38     0.07     1.83     0.07    -0.07     0.07     0.02     0.07   0.0000
2116       449.88   611.79    17.58     0.10     0.74     0.10     1.19     0.10     1.15     0.10     0.29     0.10     0.45     0.10   0.0000
2117       271.81   659.98    15.94     0.06    -0.31     0.06     0.08     0.06     0.32     0.06    -0.16     0.06     0.12     0.06   0.0000
2118       781.89   234.10    16.72     0.07     0.34     0.07     0.67     0.07     0.91     0.07     0.05     0.07     0.19     0.07   0.0000
2119      1993.90   860.80    17.72     0.13     0.60     0.13     0.93     0.13     1.04     0.13     0.31     0.13     0.27     0.13   0.0000
2120       415.12  1881.29    18.57     0.09     1.37     0.09     1.67     0.09     1.89     0.09     0.58     0.09     0.25     0.09   0.0000
2121      1699.99   353.83    17.56     0.10     0.83     0.10     1.09     0.10     1.33     0.10     0.40     0.10     0.29     0.10   0.0000
2122       691.23  1908.88    19.65     0.15     2.08     0.15     2.25     0.15     2.17     0.15     0.95     0.15     0.35     0.15   0.0000
2124       330.92   724.03    18.14     0.13     1.07     0.13     1.29     0.13     1.80     0.13     0.50     0.13     0.18     0.13   0.0000
2126      1008.17   713.34    17.31     0.09     0.89     0.09     1.10     0.09     1.46     0.09     0.21     0.09     0.15     0.09   0.0000
2127      1929.52  1060.71    17.19     0.10     1.01     0.10     1.32     0.10     1.55     0.10    -0.17     0.10     0.12     0.10   0.0000
2128      1526.22  1820.08    19.92     0.19     2.05     0.19     1.93     0.19     2.29     0.19     0.94     0.19     0.54     0.19   0.0000
2129      1009.79    88.47    17.58     0.12     0.96     0.12     0.93     0.12     1.39     0.12     0.10     0.12    -0.03     0.12   0.0000
2130       151.28   965.53    17.52     0.08     0.59     0.08     0.86     0.08     1.11     0.08     0.28     0.08     0.26     0.08   0.0000
2131      1061.39  1304.26    20.26     0.24     2.93     0.24     2.90     0.24     3.19     0.24     1.04     0.24     0.46     0.24   0.0000
2132       381.86  1385.27    16.74     0.07     0.20     0.07     0.60     0.07     0.91     0.07     0.08     0.07     0.13     0.07   0.0000
2133       964.46  1423.90    18.12     0.12     0.93     0.12     1.35     0.12     1.70     0.12     0.65     0.12     0.06     0.12   0.0000
2134      1274.47  1307.96    18.07     0.09     0.93     0.09     1.20     0.09     1.67     0.09     0.25     0.09     0.11     0.09   0.0000
2135       533.11  2042.57    17.67     0.12     0.65     0.12     0.96     0.12     1.20     0.12     0.33     0.12     0.17     0.12   0.0000
2136       386.85   759.72    18.43     0.13     1.88     0.13     2.28     0.13     2.21     0.13    -0.38     0.13     0.14     0.13   0.0000
2137      1701.29  1770.50    17.58     0.10     0.57     0.10     0.94     0.10     1.10     0.10     0.23     0.10     0.20     0.10   0.0000
2138       491.67  1982.27    18.51     0.16     1.32     0.16     1.75     0.16     1.68     0.16     0.43     0.16     0.20     0.16   0.0000
2139       385.78  1391.11    19.95     0.16     1.96     0.16     2.35     0.16     2.89     0.16     1.00     0.16     0.29     0.16   0.0000
2140       252.53  1883.79    19.47     0.17     1.44     0.17     1.72     0.17     2.26     0.17     0.66     0.17    -0.01     0.17   0.0000
2141      1428.85   872.71    18.59     0.16     0.76     0.16     1.26     0.16     1.80     0.16     0.49     0.16     0.07     0.16   0.0000
2142       835.41   283.12    19.11     0.14     1.40     0.14     1.54     0.14     2.02     0.14     0.57     0.14     0.40     0.14   0.0000
2143      1381.53   915.79    16.71     0.08    -0.16     0.08     0.25     0.08     0.48     0.08    -0.06     0.08    -0.04     0.08   0.0000
2144      1291.71   394.87    18.44     0.11     1.23     0.11     1.44     0.11     1.56     0.11     0.56     0.11     0.19     0.11   0.0000
2145      1077.38   200.92    17.76     0.11     0.67     0.11     1.00     0.11     1.26     0.11     0.13     0.11     0.07     0.11   0.0000
2146       288.65   929.68    18.82     0.14     1.26     0.14     1.60     0.14     2.06     0.14     0.57     0.14     0.35     0.14   0.0000
2147       509.05    73.48    17.89     0.12     0.96     0.12     1.38     0.12     1.47     0.12    -0.07     0.12     0.17     0.12   0.0000
2148      1833.08   404.26    17.84     0.11     0.72     0.11     1.28     0.11     1.60     0.11     0.26     0.11     0.18     0.11   0.0000
2149      2041.95   557.49    19.18     0.12     1.56     0.12     1.78     0.12     2.10     0.12     0.93     0.12     0.20     0.12   0.0000
2150       435.65   890.28    19.04     0.14     1.39     0.14     1.51     0.14     1.83     0.14     0.59     0.14     0.02     0.14   0.0000
2151       365.89   576.99    19.03     0.19     0.85     0.19     1.49     0.19     2.02     0.19     0.57     0.19     0.45     0.19   0.0000
2152      1282.91   999.00    20.02     0.16     1.99     0.16     2.10     0.16     2.41     0.16     0.74     0.16     0.61     0.16   0.0000
